return_id,fraud_type,ground_truth,source,scenario_id,generator_version
RTN-S01-001,none,False,controlled_demo_evaluation_only,S01,rg-synth-v1.0.2
RTN-S01-002,none,False,controlled_demo_evaluation_only,S01,rg-synth-v1.0.2
RTN-S01-003,none,False,controlled_demo_evaluation_only,S01,rg-synth-v1.0.2
RTN-S01-004,none,False,controlled_demo_evaluation_only,S01,rg-synth-v1.0.2
RTN-S01-005,none,False,controlled_demo_evaluation_only,S01,rg-synth-v1.0.2
RTN-S02-001,none,False,controlled_demo_evaluation_only,S02,rg-synth-v1.0.2
RTN-S02-002,none,False,controlled_demo_evaluation_only,S02,rg-synth-v1.0.2
RTN-S02-003,none,False,controlled_demo_evaluation_only,S02,rg-synth-v1.0.2
RTN-S02-004,none,False,controlled_demo_evaluation_only,S02,rg-synth-v1.0.2
RTN-S02-005,none,False,controlled_demo_evaluation_only,S02,rg-synth-v1.0.2
RTN-S03-001,none,False,controlled_demo_evaluation_only,S03,rg-synth-v1.0.2
RTN-S03-002,none,False,controlled_demo_evaluation_only,S03,rg-synth-v1.0.2
RTN-S03-003,none,False,controlled_demo_evaluation_only,S03,rg-synth-v1.0.2
RTN-S03-004,none,False,controlled_demo_evaluation_only,S03,rg-synth-v1.0.2
RTN-S03-005,none,False,controlled_demo_evaluation_only,S03,rg-synth-v1.0.2
RTN-S04-001,none,False,controlled_demo_evaluation_only,S04,rg-synth-v1.0.2
RTN-S04-002,none,False,controlled_demo_evaluation_only,S04,rg-synth-v1.0.2
RTN-S04-003,none,False,controlled_demo_evaluation_only,S04,rg-synth-v1.0.2
RTN-S04-004,none,False,controlled_demo_evaluation_only,S04,rg-synth-v1.0.2
RTN-S05-001,none,False,controlled_demo_evaluation_only,S05,rg-synth-v1.0.2
RTN-S05-002,none,False,controlled_demo_evaluation_only,S05,rg-synth-v1.0.2
RTN-S05-003,none,False,controlled_demo_evaluation_only,S05,rg-synth-v1.0.2
RTN-S05-004,none,False,controlled_demo_evaluation_only,S05,rg-synth-v1.0.2
RTN-S06-001,empty_box,True,controlled_demo_evaluation_only,S06,rg-synth-v1.0.2
RTN-S06-002,empty_box,True,controlled_demo_evaluation_only,S06,rg-synth-v1.0.2
RTN-S06-003,empty_box,True,controlled_demo_evaluation_only,S06,rg-synth-v1.0.2
RTN-S06-004,empty_box,True,controlled_demo_evaluation_only,S06,rg-synth-v1.0.2
RTN-S06-005,empty_box,True,controlled_demo_evaluation_only,S06,rg-synth-v1.0.2
RTN-S07-001,serial_swap,True,controlled_demo_evaluation_only,S07,rg-synth-v1.0.2
RTN-S07-002,serial_swap,True,controlled_demo_evaluation_only,S07,rg-synth-v1.0.2
RTN-S07-003,serial_swap,True,controlled_demo_evaluation_only,S07,rg-synth-v1.0.2
RTN-S07-004,serial_swap,True,controlled_demo_evaluation_only,S07,rg-synth-v1.0.2
RTN-S07-005,serial_swap,True,controlled_demo_evaluation_only,S07,rg-synth-v1.0.2
RTN-S08-001,missing_accessories,True,controlled_demo_evaluation_only,S08,rg-synth-v1.0.2
RTN-S08-002,missing_accessories,True,controlled_demo_evaluation_only,S08,rg-synth-v1.0.2
RTN-S08-003,missing_accessories,True,controlled_demo_evaluation_only,S08,rg-synth-v1.0.2
RTN-S08-004,missing_accessories,True,controlled_demo_evaluation_only,S08,rg-synth-v1.0.2
RTN-S09-001,false_damage,True,controlled_demo_evaluation_only,S09,rg-synth-v1.0.2
RTN-S09-002,false_damage,True,controlled_demo_evaluation_only,S09,rg-synth-v1.0.2
RTN-S09-003,false_damage,True,controlled_demo_evaluation_only,S09,rg-synth-v1.0.2
RTN-S09-004,false_damage,True,controlled_demo_evaluation_only,S09,rg-synth-v1.0.2
RTN-S10-001,wardrobing,True,controlled_demo_evaluation_only,S10,rg-synth-v1.0.2
RTN-S10-002,wardrobing,True,controlled_demo_evaluation_only,S10,rg-synth-v1.0.2
RTN-S10-003,wardrobing,True,controlled_demo_evaluation_only,S10,rg-synth-v1.0.2
RTN-S10-004,wardrobing,True,controlled_demo_evaluation_only,S10,rg-synth-v1.0.2
RTN-S10-005,wardrobing,True,controlled_demo_evaluation_only,S10,rg-synth-v1.0.2
RTN-S11-001,coordinated_abuse,True,controlled_demo_evaluation_only,S11,rg-synth-v1.0.2
RTN-S11-002,coordinated_abuse,True,controlled_demo_evaluation_only,S11,rg-synth-v1.0.2
RTN-S11-003,coordinated_abuse,True,controlled_demo_evaluation_only,S11,rg-synth-v1.0.2
RTN-S11-004,coordinated_abuse,True,controlled_demo_evaluation_only,S11,rg-synth-v1.0.2
RTN-S11-005,coordinated_abuse,True,controlled_demo_evaluation_only,S11,rg-synth-v1.0.2
RTN-S12-002,none,False,controlled_demo_evaluation_only,S12,rg-synth-v1.0.2
RTN-S12-003,none,False,controlled_demo_evaluation_only,S12,rg-synth-v1.0.2
RTN-S12-004,none,False,controlled_demo_evaluation_only,S12,rg-synth-v1.0.2
RTN-S13-001,none,False,controlled_demo_evaluation_only,S13,rg-synth-v1.0.2
RTN-S13-002,none,False,controlled_demo_evaluation_only,S13,rg-synth-v1.0.2
RTN-S13-003,none,False,controlled_demo_evaluation_only,S13,rg-synth-v1.0.2
RTN-S13-004,none,False,controlled_demo_evaluation_only,S13,rg-synth-v1.0.2
RTN-S14-001,ambiguous,True,controlled_demo_evaluation_only,S14,rg-synth-v1.0.2
RTN-S14-002,ambiguous,True,controlled_demo_evaluation_only,S14,rg-synth-v1.0.2
RTN-S14-003,ambiguous,True,controlled_demo_evaluation_only,S14,rg-synth-v1.0.2
RTN-S14-004,ambiguous,True,controlled_demo_evaluation_only,S14,rg-synth-v1.0.2
RTN-M01-001,coordinated_abuse,True,controlled_demo_evaluation_only,M01,rg-synth-v2.0.0
RTN-M01-002,coordinated_abuse,True,controlled_demo_evaluation_only,M01,rg-synth-v2.0.0
