product_id,expected_weight_kg,reference_image_uri,expected_accessories,serial_required,serial_pattern,condition_baseline,recovery_value,inspection_cost,source_type,source_table,source_record_id,generator_version
1425,0.477,gs://returnguard-evidence/reference/product_1425.jpg,"[""product"", ""packaging"", ""manual"", ""charger_or_cable""]",True,RG-1425-{TOKEN},new_or_salable,83.98,24.0,synthetic_demo,,1425,rg-synth-v1.0.2
1430,0.949,gs://returnguard-evidence/reference/product_1430.jpg,"[""product"", ""packaging""]",False,RG-1430-{TOKEN},new_or_salable,15.06,12.5,synthetic_demo,,1430,rg-synth-v1.0.2
1939,0.518,gs://returnguard-evidence/reference/product_1939.jpg,"[""product"", ""packaging""]",False,RG-1939-{TOKEN},new_or_salable,19.67,12.5,synthetic_demo,,1939,rg-synth-v1.0.2
3281,0.361,gs://returnguard-evidence/reference/product_3281.jpg,"[""product"", ""packaging""]",False,RG-3281-{TOKEN},new_or_salable,3.14,12.5,synthetic_demo,,3281,rg-synth-v1.0.2
3681,1.263,gs://returnguard-evidence/reference/product_3681.jpg,"[""product"", ""packaging"", ""manual"", ""charger_or_cable""]",True,RG-3681-{TOKEN},new_or_salable,80.13,24.0,synthetic_demo,,3681,rg-synth-v1.0.2
3736,0.514,gs://returnguard-evidence/reference/product_3736.jpg,"[""product"", ""packaging""]",False,RG-3736-{TOKEN},new_or_salable,17.87,12.5,synthetic_demo,,3736,rg-synth-v1.0.2
4504,1.275,gs://returnguard-evidence/reference/product_4504.jpg,"[""product"", ""packaging"", ""manual"", ""charger_or_cable""]",True,RG-4504-{TOKEN},new_or_salable,59.54,24.0,synthetic_demo,,4504,rg-synth-v1.0.2
4988,1.194,gs://returnguard-evidence/reference/product_4988.jpg,"[""product"", ""packaging""]",False,RG-4988-{TOKEN},new_or_salable,35.42,12.5,synthetic_demo,,4988,rg-synth-v1.0.2
6201,0.391,gs://returnguard-evidence/reference/product_6201.jpg,"[""product"", ""packaging"", ""manual"", ""charger_or_cable""]",False,RG-6201-{TOKEN},new_or_salable,48.01,12.5,synthetic_demo,,6201,rg-synth-v1.0.2
8231,1.252,gs://returnguard-evidence/reference/product_8231.jpg,"[""product"", ""packaging"", ""manual"", ""charger_or_cable""]",True,RG-8231-{TOKEN},new_or_salable,79.57,24.0,synthetic_demo,,8231,rg-synth-v1.0.2
8528,0.396,gs://returnguard-evidence/reference/product_8528.jpg,"[""product"", ""packaging"", ""manual"", ""charger_or_cable""]",True,RG-8528-{TOKEN},new_or_salable,71.31,24.0,synthetic_demo,,8528,rg-synth-v1.0.2
8843,0.612,gs://returnguard-evidence/reference/product_8843.jpg,"[""product"", ""packaging"", ""manual"", ""charger_or_cable""]",True,RG-8843-{TOKEN},new_or_salable,105.99,24.0,synthetic_demo,,8843,rg-synth-v1.0.2
14115,0.892,gs://returnguard-evidence/reference/product_14115.jpg,"[""product"", ""packaging""]",False,RG-14115-{TOKEN},new_or_salable,3.17,12.5,synthetic_demo,,14115,rg-synth-v1.0.2
14373,1.398,gs://returnguard-evidence/reference/product_14373.jpg,"[""product"", ""packaging"", ""manual"", ""charger_or_cable""]",True,RG-14373-{TOKEN},new_or_salable,47.53,24.0,synthetic_demo,,14373,rg-synth-v1.0.2
19877,0.338,gs://returnguard-evidence/reference/product_19877.jpg,"[""product"", ""packaging"", ""manual"", ""charger_or_cable""]",False,RG-19877-{TOKEN},new_or_salable,25.74,12.5,synthetic_demo,,19877,rg-synth-v1.0.2
19966,0.472,gs://returnguard-evidence/reference/product_19966.jpg,"[""product"", ""packaging""]",False,RG-19966-{TOKEN},new_or_salable,19.65,12.5,synthetic_demo,,19966,rg-synth-v1.0.2
20090,0.416,gs://returnguard-evidence/reference/product_20090.jpg,"[""product"", ""packaging"", ""manual"", ""charger_or_cable""]",True,RG-20090-{TOKEN},new_or_salable,41.07,24.0,synthetic_demo,,20090,rg-synth-v1.0.2
20340,0.604,gs://returnguard-evidence/reference/product_20340.jpg,"[""product"", ""packaging"", ""manual"", ""charger_or_cable""]",True,RG-20340-{TOKEN},new_or_salable,49.78,24.0,synthetic_demo,,20340,rg-synth-v1.0.2
20568,0.494,gs://returnguard-evidence/reference/product_20568.jpg,"[""product"", ""packaging"", ""manual"", ""charger_or_cable""]",True,RG-20568-{TOKEN},new_or_salable,106.78,24.0,synthetic_demo,,20568,rg-synth-v1.0.2
