evidence_id,return_id,stage,type,image_uri,claim_metadata,uploaded_by,observed_at,source_type,scenario_id,generator_version,reference_image_uri
E-RTN-S03-001-CUST-01,RTN-S03-001,CUSTOMER,CUSTOMER_PHOTO,gs://returnguard-evidence/customer/RTN-S03-001_customer_01.jpg,"{""reason"": ""damaged_on_arrival""}",customer,2026-08-25T23:59:59+00:00,synthetic_demo,S03,rg-synth-v1.0.2,gs://returnguard-evidence/reference/product_14423.jpg
E-RTN-S03-002-CUST-01,RTN-S03-002,CUSTOMER,CUSTOMER_PHOTO,gs://returnguard-evidence/customer/RTN-S03-002_customer_01.jpg,"{""reason"": ""damaged_on_arrival""}",customer,2026-08-25T18:59:59+00:00,synthetic_demo,S03,rg-synth-v1.0.2,gs://returnguard-evidence/reference/product_24995.jpg
E-RTN-S03-003-CUST-01,RTN-S03-003,CUSTOMER,CUSTOMER_PHOTO,gs://returnguard-evidence/customer/RTN-S03-003_customer_01.jpg,"{""reason"": ""damaged_on_arrival""}",customer,2026-08-23T22:59:59+00:00,synthetic_demo,S03,rg-synth-v1.0.2,gs://returnguard-evidence/reference/product_1348.jpg
E-RTN-S03-004-CUST-01,RTN-S03-004,CUSTOMER,CUSTOMER_PHOTO,gs://returnguard-evidence/customer/RTN-S03-004_customer_01.jpg,"{""reason"": ""damaged_on_arrival""}",customer,2026-08-21T06:59:59+00:00,synthetic_demo,S03,rg-synth-v1.0.2,gs://returnguard-evidence/reference/product_23343.jpg
E-RTN-S03-005-CUST-01,RTN-S03-005,CUSTOMER,CUSTOMER_PHOTO,gs://returnguard-evidence/customer/RTN-S03-005_customer_01.jpg,"{""reason"": ""damaged_on_arrival""}",customer,2026-08-24T15:59:59+00:00,synthetic_demo,S03,rg-synth-v1.0.2,gs://returnguard-evidence/reference/product_11450.jpg
E-RTN-S04-001-CUST-01,RTN-S04-001,CUSTOMER,CUSTOMER_PHOTO,gs://returnguard-evidence/customer/RTN-S04-001_customer_01.jpg,"{""reason"": ""wrong_item_shipped""}",customer,2026-08-21T22:59:59+00:00,synthetic_demo,S04,rg-synth-v1.0.2,gs://returnguard-evidence/reference/product_2413.jpg
E-RTN-S04-002-CUST-01,RTN-S04-002,CUSTOMER,CUSTOMER_PHOTO,gs://returnguard-evidence/customer/RTN-S04-002_customer_01.jpg,"{""reason"": ""wrong_item_shipped""}",customer,2026-08-24T13:59:59+00:00,synthetic_demo,S04,rg-synth-v1.0.2,gs://returnguard-evidence/reference/product_27980.jpg
E-RTN-S04-003-CUST-01,RTN-S04-003,CUSTOMER,CUSTOMER_PHOTO,gs://returnguard-evidence/customer/RTN-S04-003_customer_01.jpg,"{""reason"": ""wrong_item_shipped""}",customer,2026-08-24T07:59:59+00:00,synthetic_demo,S04,rg-synth-v1.0.2,gs://returnguard-evidence/reference/product_1182.jpg
E-RTN-S04-004-CUST-01,RTN-S04-004,CUSTOMER,CUSTOMER_PHOTO,gs://returnguard-evidence/customer/RTN-S04-004_customer_01.jpg,"{""reason"": ""wrong_item_shipped""}",customer,2026-08-23T14:59:59+00:00,synthetic_demo,S04,rg-synth-v1.0.2,gs://returnguard-evidence/reference/product_27407.jpg
E-RTN-S06-001-WH-01,RTN-S06-001,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S06-001_warehouse_01.jpg,{},warehouse,2026-08-25T09:59:59+00:00,synthetic_demo,S06,rg-synth-v1.0.2,
E-RTN-S06-002-WH-01,RTN-S06-002,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S06-002_warehouse_01.jpg,{},warehouse,2026-08-27T10:59:59+00:00,synthetic_demo,S06,rg-synth-v1.0.2,
E-RTN-S06-003-WH-01,RTN-S06-003,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S06-003_warehouse_01.jpg,{},warehouse,2026-08-26T02:59:59+00:00,synthetic_demo,S06,rg-synth-v1.0.2,
E-RTN-S06-004-WH-01,RTN-S06-004,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S06-004_warehouse_01.jpg,{},warehouse,2026-08-31T14:59:59+00:00,synthetic_demo,S06,rg-synth-v1.0.2,
E-RTN-S06-005-WH-01,RTN-S06-005,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S06-005_warehouse_01.jpg,{},warehouse,2026-08-28T03:59:59+00:00,synthetic_demo,S06,rg-synth-v1.0.2,
