return_id,actual_weight_kg,returned_serial,item_present,condition,accessories_present,inspection_location,inspected_at,expected_weight_kg,source_type,scenario_id,generator_version
RTN-S03-001,,,True,damaged,[],WH-01,2026-08-30T18:59:59+00:00,,synthetic_demo,S03,rg-synth-v1.0.2
RTN-S03-002,,,True,damaged,[],WH-01,2026-08-27T21:59:59+00:00,,synthetic_demo,S03,rg-synth-v1.0.2
RTN-S03-003,,,True,damaged,[],WH-01,2026-08-27T21:59:59+00:00,,synthetic_demo,S03,rg-synth-v1.0.2
RTN-S03-004,,,True,damaged,[],WH-01,2026-08-24T03:59:59+00:00,,synthetic_demo,S03,rg-synth-v1.0.2
RTN-S03-005,,,True,damaged,[],WH-01,2026-08-27T16:59:59+00:00,,synthetic_demo,S03,rg-synth-v1.0.2
RTN-S06-001,0.102,,False,not_present,[],WH-01,2026-08-25T11:59:59+00:00,0.783,synthetic_demo,S06,rg-synth-v1.0.2
RTN-S06-002,0.368,,False,not_present,[],WH-01,2026-08-27T12:59:59+00:00,1.673,synthetic_demo,S06,rg-synth-v1.0.2
RTN-S06-003,0.05,,False,not_present,[],WH-01,2026-08-26T04:59:59+00:00,0.507,synthetic_demo,S06,rg-synth-v1.0.2
RTN-S06-004,0.054,,False,not_present,[],WH-01,2026-08-31T16:59:59+00:00,0.426,synthetic_demo,S06,rg-synth-v1.0.2
RTN-S06-005,0.148,,False,not_present,[],WH-01,2026-08-28T05:59:59+00:00,0.875,synthetic_demo,S06,rg-synth-v1.0.2
RTN-S07-001,0.159,RG-6201-46B10BE661-SWAP,True,salable,"[""product"", ""packaging"", ""manual"", ""charger_or_cable""]",WH-01,2026-08-28T11:59:59+00:00,0.151,synthetic_demo,S07,rg-synth-v1.0.2
RTN-S07-002,1.066,RG-3736-4462D9D25E-SWAP,True,salable,"[""product"", ""packaging""]",WH-01,2026-08-27T11:59:59+00:00,1.042,synthetic_demo,S07,rg-synth-v1.0.2
RTN-S07-003,1.109,RG-23825-F310706376-SWAP,True,salable,"[""product"", ""packaging"", ""manual"", ""charger_or_cable""]",WH-01,2026-08-28T16:59:59+00:00,1.083,synthetic_demo,S07,rg-synth-v1.0.2
RTN-S07-004,1.792,RG-4504-E06065A366-SWAP,True,salable,"[""product"", ""packaging"", ""manual"", ""charger_or_cable""]",WH-01,2026-08-28T20:59:59+00:00,1.69,synthetic_demo,S07,rg-synth-v1.0.2
RTN-S07-005,1.963,RG-23784-2BF84E187A-SWAP,True,salable,"[""product"", ""packaging"", ""manual"", ""charger_or_cable""]",WH-01,2026-08-26T06:59:59+00:00,1.954,synthetic_demo,S07,rg-synth-v1.0.2
RTN-S08-001,1.696,RG-8231-95D9E1A5C5,True,salable,"[""product"", ""packaging""]",WH-01,2026-08-30T09:59:59+00:00,1.865,synthetic_demo,S08,rg-synth-v1.0.2
RTN-S08-002,0.186,RG-19877-C448133B45,True,salable,"[""product"", ""packaging""]",WH-01,2026-08-26T02:59:59+00:00,0.202,synthetic_demo,S08,rg-synth-v1.0.2
RTN-S08-003,0.161,RG-21196-8923DFAEF0,True,salable,"[""product""]",WH-01,2026-08-29T18:59:59+00:00,0.179,synthetic_demo,S08,rg-synth-v1.0.2
RTN-S08-004,1.57,RG-20340-4B40866F10,True,salable,"[""product"", ""packaging""]",WH-01,2026-08-28T05:59:59+00:00,1.647,synthetic_demo,S08,rg-synth-v1.0.2
RTN-S09-001,1.807,RG-8843-6FF5CB0AC9,True,minor_or_no_damage,"[""product"", ""packaging"", ""manual"", ""charger_or_cable""]",WH-01,2026-08-26T20:59:59+00:00,1.855,synthetic_demo,S09,rg-synth-v1.0.2
RTN-S09-002,0.912,RG-4988-C95EC34792,True,minor_or_no_damage,"[""product"", ""packaging""]",WH-01,2026-08-28T23:59:59+00:00,0.929,synthetic_demo,S09,rg-synth-v1.0.2
RTN-S09-003,0.674,RG-1430-DB8D4DDF4C,True,minor_or_no_damage,"[""product"", ""packaging""]",WH-01,2026-08-25T20:59:59+00:00,0.698,synthetic_demo,S09,rg-synth-v1.0.2
RTN-S09-004,1.114,RG-28692-B2F54C9692,True,minor_or_no_damage,"[""product"", ""packaging"", ""manual"", ""charger_or_cable""]",WH-01,2026-08-28T12:59:59+00:00,1.102,synthetic_demo,S09,rg-synth-v1.0.2
RTN-S12-001,,,True,defective,[],WH-01,2026-08-25T06:59:59+00:00,,synthetic_demo,S12,rg-synth-v1.0.2
RTN-S12-002,,,True,defective,[],WH-01,2026-08-28T00:59:59+00:00,,synthetic_demo,S12,rg-synth-v1.0.2
RTN-S12-003,,,True,defective,[],WH-01,2026-08-27T08:59:59+00:00,,synthetic_demo,S12,rg-synth-v1.0.2
RTN-S12-004,,,True,defective,[],WH-01,2026-08-29T15:59:59+00:00,,synthetic_demo,S12,rg-synth-v1.0.2
RTN-S12-005,,,True,defective,[],WH-01,2026-08-29T01:59:59+00:00,,synthetic_demo,S12,rg-synth-v1.0.2
