return_id,pickup_at,received_at,reverse_cost,source_type,generator_version,scenario_id
RTN-S01-001,2026-08-25T21:59:59+00:00,2026-08-29T21:59:59+00:00,64.54,synthetic_demo,rg-synth-v1.0.2,S01
RTN-S01-002,2026-08-26T15:59:59+00:00,2026-08-27T15:59:59+00:00,92.75,synthetic_demo,rg-synth-v1.0.2,S01
RTN-S01-003,2026-08-21T23:59:59+00:00,2026-08-24T23:59:59+00:00,69.39,synthetic_demo,rg-synth-v1.0.2,S01
RTN-S01-004,2026-08-28T00:59:59+00:00,2026-08-30T00:59:59+00:00,54.71,synthetic_demo,rg-synth-v1.0.2,S01
RTN-S01-005,2026-08-26T23:59:59+00:00,2026-08-27T23:59:59+00:00,114.23,synthetic_demo,rg-synth-v1.0.2,S01
RTN-S02-001,2026-08-24T14:59:59+00:00,2026-08-26T14:59:59+00:00,61.98,synthetic_demo,rg-synth-v1.0.2,S02
RTN-S02-002,2026-08-28T07:59:59+00:00,2026-08-30T07:59:59+00:00,94.32,synthetic_demo,rg-synth-v1.0.2,S02
RTN-S02-003,2026-08-25T00:59:59+00:00,2026-08-29T00:59:59+00:00,110.44,synthetic_demo,rg-synth-v1.0.2,S02
RTN-S02-004,2026-08-23T02:59:59+00:00,2026-08-24T02:59:59+00:00,104.76,synthetic_demo,rg-synth-v1.0.2,S02
RTN-S02-005,2026-08-26T20:59:59+00:00,2026-08-28T20:59:59+00:00,64.3,synthetic_demo,rg-synth-v1.0.2,S02
RTN-S03-001,2026-08-27T14:59:59+00:00,2026-08-30T14:59:59+00:00,109.21,synthetic_demo,rg-synth-v1.0.2,S03
RTN-S03-002,2026-08-26T17:59:59+00:00,2026-08-27T17:59:59+00:00,87.92,synthetic_demo,rg-synth-v1.0.2,S03
RTN-S03-003,2026-08-25T17:59:59+00:00,2026-08-27T17:59:59+00:00,64.71,synthetic_demo,rg-synth-v1.0.2,S03
RTN-S03-004,2026-08-21T23:59:59+00:00,2026-08-23T23:59:59+00:00,41.19,synthetic_demo,rg-synth-v1.0.2,S03
RTN-S03-005,2026-08-26T12:59:59+00:00,2026-08-27T12:59:59+00:00,94.23,synthetic_demo,rg-synth-v1.0.2,S03
RTN-S04-001,2026-08-23T07:59:59+00:00,2026-08-26T07:59:59+00:00,90.85,synthetic_demo,rg-synth-v1.0.2,S04
RTN-S04-002,2026-08-25T02:59:59+00:00,2026-08-26T02:59:59+00:00,89.4,synthetic_demo,rg-synth-v1.0.2,S04
RTN-S04-003,2026-08-26T05:59:59+00:00,2026-08-27T05:59:59+00:00,67.2,synthetic_demo,rg-synth-v1.0.2,S04
RTN-S04-004,2026-08-24T12:59:59+00:00,2026-08-26T12:59:59+00:00,106.72,synthetic_demo,rg-synth-v1.0.2,S04
RTN-S05-001,2026-08-22T04:59:59+00:00,2026-08-25T04:59:59+00:00,77.58,synthetic_demo,rg-synth-v1.0.2,S05
RTN-S05-002,2026-08-27T09:59:59+00:00,2026-08-28T09:59:59+00:00,97.08,synthetic_demo,rg-synth-v1.0.2,S05
RTN-S05-003,2026-08-24T20:59:59+00:00,2026-08-25T20:59:59+00:00,75.74,synthetic_demo,rg-synth-v1.0.2,S05
RTN-S05-004,2026-08-25T01:59:59+00:00,2026-08-29T01:59:59+00:00,36.43,synthetic_demo,rg-synth-v1.0.2,S05
RTN-S06-001,2026-08-23T07:59:59+00:00,2026-08-25T07:59:59+00:00,110.15,synthetic_demo,rg-synth-v1.0.2,S06
RTN-S06-002,2026-08-24T08:59:59+00:00,2026-08-27T08:59:59+00:00,106.93,synthetic_demo,rg-synth-v1.0.2,S06
RTN-S06-003,2026-08-23T00:59:59+00:00,2026-08-26T00:59:59+00:00,103.52,synthetic_demo,rg-synth-v1.0.2,S06
RTN-S06-004,2026-08-27T12:59:59+00:00,2026-08-31T12:59:59+00:00,57.56,synthetic_demo,rg-synth-v1.0.2,S06
RTN-S06-005,2026-08-24T01:59:59+00:00,2026-08-28T01:59:59+00:00,116.23,synthetic_demo,rg-synth-v1.0.2,S06
RTN-S07-001,2026-08-24T07:59:59+00:00,2026-08-28T07:59:59+00:00,35.15,synthetic_demo,rg-synth-v1.0.2,S07
RTN-S07-002,2026-08-23T07:59:59+00:00,2026-08-27T07:59:59+00:00,111.0,synthetic_demo,rg-synth-v1.0.2,S07
RTN-S07-003,2026-08-24T12:59:59+00:00,2026-08-28T12:59:59+00:00,47.43,synthetic_demo,rg-synth-v1.0.2,S07
RTN-S07-004,2026-08-24T16:59:59+00:00,2026-08-28T16:59:59+00:00,56.93,synthetic_demo,rg-synth-v1.0.2,S07
RTN-S07-005,2026-08-23T02:59:59+00:00,2026-08-26T02:59:59+00:00,101.29,synthetic_demo,rg-synth-v1.0.2,S07
RTN-S08-001,2026-08-27T05:59:59+00:00,2026-08-30T05:59:59+00:00,54.75,synthetic_demo,rg-synth-v1.0.2,S08
RTN-S08-002,2026-08-22T22:59:59+00:00,2026-08-25T22:59:59+00:00,47.03,synthetic_demo,rg-synth-v1.0.2,S08
RTN-S08-003,2026-08-28T14:59:59+00:00,2026-08-29T14:59:59+00:00,38.4,synthetic_demo,rg-synth-v1.0.2,S08
RTN-S08-004,2026-08-27T01:59:59+00:00,2026-08-28T01:59:59+00:00,45.22,synthetic_demo,rg-synth-v1.0.2,S08
RTN-S09-001,2026-08-25T16:59:59+00:00,2026-08-26T16:59:59+00:00,92.72,synthetic_demo,rg-synth-v1.0.2,S09
RTN-S09-002,2026-08-25T19:59:59+00:00,2026-08-28T19:59:59+00:00,82.24,synthetic_demo,rg-synth-v1.0.2,S09
RTN-S09-003,2026-08-24T16:59:59+00:00,2026-08-25T16:59:59+00:00,48.09,synthetic_demo,rg-synth-v1.0.2,S09
