return_id,reverse_logistics_cost,inspection_cost,recovery_value,source_type,scenario_id,generator_version
RTN-S01-001,64.54,0.0,10.01,synthetic_demo,S01,rg-synth-v1.0.2
RTN-S01-002,92.75,0.0,9.33,synthetic_demo,S01,rg-synth-v1.0.2
RTN-S01-003,69.39,0.0,13.67,synthetic_demo,S01,rg-synth-v1.0.2
RTN-S01-004,54.71,0.0,20.83,synthetic_demo,S01,rg-synth-v1.0.2
RTN-S01-005,114.23,0.0,9.76,synthetic_demo,S01,rg-synth-v1.0.2
RTN-S02-001,61.98,0.0,12.56,synthetic_demo,S02,rg-synth-v1.0.2
RTN-S02-002,94.32,0.0,13.97,synthetic_demo,S02,rg-synth-v1.0.2
RTN-S02-003,110.44,0.0,59.28,synthetic_demo,S02,rg-synth-v1.0.2
RTN-S02-004,104.76,0.0,12.45,synthetic_demo,S02,rg-synth-v1.0.2
RTN-S02-005,64.3,0.0,14.1,synthetic_demo,S02,rg-synth-v1.0.2
RTN-S03-001,109.21,12.5,6.43,synthetic_demo,S03,rg-synth-v1.0.2
RTN-S03-002,87.92,12.5,4.86,synthetic_demo,S03,rg-synth-v1.0.2
RTN-S03-003,64.71,12.5,17.04,synthetic_demo,S03,rg-synth-v1.0.2
RTN-S03-004,41.19,12.5,11.14,synthetic_demo,S03,rg-synth-v1.0.2
RTN-S03-005,94.23,12.5,12.62,synthetic_demo,S03,rg-synth-v1.0.2
RTN-S04-001,90.85,0.0,38.81,synthetic_demo,S04,rg-synth-v1.0.2
RTN-S04-002,89.4,0.0,15.62,synthetic_demo,S04,rg-synth-v1.0.2
RTN-S04-003,67.2,0.0,14.44,synthetic_demo,S04,rg-synth-v1.0.2
RTN-S04-004,106.72,0.0,13.53,synthetic_demo,S04,rg-synth-v1.0.2
RTN-S05-001,77.58,0.0,106.78,synthetic_demo,S05,rg-synth-v1.0.2
RTN-S05-002,97.08,0.0,80.13,synthetic_demo,S05,rg-synth-v1.0.2
RTN-S05-003,75.74,0.0,71.31,synthetic_demo,S05,rg-synth-v1.0.2
RTN-S05-004,36.43,0.0,83.98,synthetic_demo,S05,rg-synth-v1.0.2
RTN-S06-001,110.15,12.5,21.62,synthetic_demo,S06,rg-synth-v1.0.2
RTN-S06-002,106.93,24.0,41.07,synthetic_demo,S06,rg-synth-v1.0.2
RTN-S06-003,103.52,12.5,34.25,synthetic_demo,S06,rg-synth-v1.0.2
RTN-S06-004,57.56,12.5,19.67,synthetic_demo,S06,rg-synth-v1.0.2
RTN-S06-005,116.23,12.5,18.2,synthetic_demo,S06,rg-synth-v1.0.2
RTN-S07-001,35.15,12.5,48.01,synthetic_demo,S07,rg-synth-v1.0.2
RTN-S07-002,111.0,12.5,17.87,synthetic_demo,S07,rg-synth-v1.0.2
RTN-S07-003,47.43,12.5,36.4,synthetic_demo,S07,rg-synth-v1.0.2
RTN-S07-004,56.93,24.0,59.54,synthetic_demo,S07,rg-synth-v1.0.2
RTN-S07-005,101.29,24.0,158.1,synthetic_demo,S07,rg-synth-v1.0.2
RTN-S08-001,54.75,24.0,79.57,synthetic_demo,S08,rg-synth-v1.0.2
RTN-S08-002,47.03,12.5,25.74,synthetic_demo,S08,rg-synth-v1.0.2
RTN-S08-003,38.4,12.5,31.51,synthetic_demo,S08,rg-synth-v1.0.2
RTN-S08-004,45.22,24.0,49.78,synthetic_demo,S08,rg-synth-v1.0.2
RTN-S09-001,92.72,24.0,105.99,synthetic_demo,S09,rg-synth-v1.0.2
RTN-S09-002,82.24,12.5,35.42,synthetic_demo,S09,rg-synth-v1.0.2
RTN-S09-003,48.09,12.5,15.06,synthetic_demo,S09,rg-synth-v1.0.2
