network_link_id,scenario_id,return_id,user_id,linked_user_id,network_identifier,relationship_type,first_observed_at,last_observed_at,source_type,generator_version
NLK-RTN-S11-001-01,S11,RTN-S11-001,307,53279,2b36958268370c7ed1edc4f2baa37cef,shared_ip_cluster,2026-08-06T21:59:59+00:00,2026-08-26T15:59:59+00:00,synthetic_demo,rg-synth-v1.0.2
NLK-RTN-S11-002-01,S11,RTN-S11-002,561,97319,bfaa3f6af9897f9f9c4bffd1c1f2d841,shared_ip_cluster,2026-08-02T04:59:59+00:00,2026-08-21T22:59:59+00:00,synthetic_demo,rg-synth-v1.0.2
NLK-RTN-S11-003-01,S11,RTN-S11-003,115,7583,a4362edf506fe81fd33f978812b5b1df,shared_ip_cluster,2026-08-02T12:59:59+00:00,2026-08-22T06:59:59+00:00,synthetic_demo,rg-synth-v1.0.2
NLK-RTN-S11-004-01,S11,RTN-S11-004,410,57159,a053572e657637ed937765e1b207cf5e,shared_ip_cluster,2026-08-01T21:59:59+00:00,2026-08-21T15:59:59+00:00,synthetic_demo,rg-synth-v1.0.2
NLK-RTN-S11-005-01,S11,RTN-S11-005,188,28403,76adbcab7888707b6e06d9002e7470b4,shared_ip_cluster,2026-08-02T14:59:59+00:00,2026-08-22T08:59:59+00:00,synthetic_demo,rg-synth-v1.0.2
NLK-RTN-M01-001-01,M01,RTN-M01-001,616,88332,17d9bba1424adcba71a13c393badcfb6,shared_ip_cluster,2026-08-05T10:59:59+00:00,2026-08-25T04:59:59+00:00,synthetic_demo,rg-synth-v2.0.0
NLK-RTN-M01-002-01,M01,RTN-M01-002,1101,69809,21c3b3222f073ddc3b99c0c2480ffaf2,shared_ip_cluster,2026-08-03T08:59:59+00:00,2026-08-23T02:59:59+00:00,synthetic_demo,rg-synth-v2.0.0
NLK-RTN-M04-001-01,M04,RTN-M04-001,254,70437,ab2b089ff57d8c121f76f0c10c952550,shared_ip_cluster,2026-08-05T04:59:59+00:00,2026-08-24T22:59:59+00:00,synthetic_demo,rg-synth-v2.0.0
NLK-RTN-M04-002-01,M04,RTN-M04-002,1550,75766,084ac1001caf9d42bd13df1dcc745647,shared_ip_cluster,2026-08-05T09:59:59+00:00,2026-08-25T03:59:59+00:00,synthetic_demo,rg-synth-v2.0.0
NLK-RTN-M06-001-01,M06,RTN-M06-001,490,35865,c1658e6e71a8acebd5c8060eaa9e167b,shared_ip_cluster,2026-08-03T15:59:59+00:00,2026-08-23T09:59:59+00:00,synthetic_demo,rg-synth-v2.0.0
NLK-RTN-M06-002-01,M06,RTN-M06-002,941,38803,012d805fc451d955e501a18a2b7015b9,shared_ip_cluster,2026-08-01T15:59:59+00:00,2026-08-21T09:59:59+00:00,synthetic_demo,rg-synth-v2.0.0
NLK-RTN-M07-001-01,M07,RTN-M07-001,511,24324,4c3a688243ebb78a82d4de9f40341d6c,shared_ip_cluster,2026-08-01T05:59:59+00:00,2026-08-20T23:59:59+00:00,synthetic_demo,rg-synth-v2.0.0
NLK-RTN-M07-002-01,M07,RTN-M07-002,1414,84264,337ac8df913abd2c0e6da55104b692e3,shared_ip_cluster,2026-08-03T15:59:59+00:00,2026-08-23T09:59:59+00:00,synthetic_demo,rg-synth-v2.0.0
NLK-RTN-M08-001-01,M08,RTN-M08-001,846,5619,42d79694f8e0ef21e0586eb4d43a8be1,shared_ip_cluster,2026-08-01T03:59:59+00:00,2026-08-20T21:59:59+00:00,synthetic_demo,rg-synth-v2.0.0
NLK-RTN-M08-002-01,M08,RTN-M08-002,238,92029,ac103922c435a06a2195629c831ac9f6,shared_ip_cluster,2026-08-04T20:59:59+00:00,2026-08-24T14:59:59+00:00,synthetic_demo,rg-synth-v2.0.0
