scenario_id,scenario_type,return_id,seed,generator_version,description,source_type
S01,Honest normal return,RTN-S01-001,20260903,rg-synth-v1.0.2,Honest normal return,synthetic_demo
S01,Honest normal return,RTN-S01-002,20260903,rg-synth-v1.0.2,Honest normal return,synthetic_demo
S01,Honest normal return,RTN-S01-003,20260903,rg-synth-v1.0.2,Honest normal return,synthetic_demo
S01,Honest normal return,RTN-S01-004,20260903,rg-synth-v1.0.2,Honest normal return,synthetic_demo
S01,Honest normal return,RTN-S01-005,20260903,rg-synth-v1.0.2,Honest normal return,synthetic_demo
S02,Legitimate heavy returner,RTN-S02-001,20260903,rg-synth-v1.0.2,Legitimate heavy returner,synthetic_demo
S02,Legitimate heavy returner,RTN-S02-002,20260903,rg-synth-v1.0.2,Legitimate heavy returner,synthetic_demo
S02,Legitimate heavy returner,RTN-S02-003,20260903,rg-synth-v1.0.2,Legitimate heavy returner,synthetic_demo
S02,Legitimate heavy returner,RTN-S02-004,20260903,rg-synth-v1.0.2,Legitimate heavy returner,synthetic_demo
S02,Legitimate heavy returner,RTN-S02-005,20260903,rg-synth-v1.0.2,Legitimate heavy returner,synthetic_demo
S03,Merchant-fault damaged return,RTN-S03-001,20260903,rg-synth-v1.0.2,Merchant-fault damaged return,synthetic_demo
S03,Merchant-fault damaged return,RTN-S03-002,20260903,rg-synth-v1.0.2,Merchant-fault damaged return,synthetic_demo
S03,Merchant-fault damaged return,RTN-S03-003,20260903,rg-synth-v1.0.2,Merchant-fault damaged return,synthetic_demo
S03,Merchant-fault damaged return,RTN-S03-004,20260903,rg-synth-v1.0.2,Merchant-fault damaged return,synthetic_demo
S03,Merchant-fault damaged return,RTN-S03-005,20260903,rg-synth-v1.0.2,Merchant-fault damaged return,synthetic_demo
S04,Wrong item shipped,RTN-S04-001,20260903,rg-synth-v1.0.2,Wrong item shipped,synthetic_demo
S04,Wrong item shipped,RTN-S04-002,20260903,rg-synth-v1.0.2,Wrong item shipped,synthetic_demo
S04,Wrong item shipped,RTN-S04-003,20260903,rg-synth-v1.0.2,Wrong item shipped,synthetic_demo
S04,Wrong item shipped,RTN-S04-004,20260903,rg-synth-v1.0.2,Wrong item shipped,synthetic_demo
S05,High-value legitimate return,RTN-S05-001,20260903,rg-synth-v1.0.2,High-value legitimate return,synthetic_demo
S05,High-value legitimate return,RTN-S05-002,20260903,rg-synth-v1.0.2,High-value legitimate return,synthetic_demo
S05,High-value legitimate return,RTN-S05-003,20260903,rg-synth-v1.0.2,High-value legitimate return,synthetic_demo
S05,High-value legitimate return,RTN-S05-004,20260903,rg-synth-v1.0.2,High-value legitimate return,synthetic_demo
S06,Empty box / missing item,RTN-S06-001,20260903,rg-synth-v1.0.2,Empty box / missing item,synthetic_demo
S06,Empty box / missing item,RTN-S06-002,20260903,rg-synth-v1.0.2,Empty box / missing item,synthetic_demo
S06,Empty box / missing item,RTN-S06-003,20260903,rg-synth-v1.0.2,Empty box / missing item,synthetic_demo
S06,Empty box / missing item,RTN-S06-004,20260903,rg-synth-v1.0.2,Empty box / missing item,synthetic_demo
